! Observation Error in Cloud and Precipitable regions - MWRI 
! nchannels
10
! Channnel Cclr   Ccld   gclr   gcld     k
        1  0.000 0.356   4.29  16.37 33.99
        2  0.000 0.391   7.98  28.42 52.27
        3  0.000 0.450   2.95  22.45 43.35
        4  0.000 0.450   4.88  40.95 80.15
        5  0.000 0.351   3.54  12.29 24.92
        6  0.000 0.386   6.15  24.15 46.63
        7  0.000 0.338   3.12  22.20 56.45
        8  0.000 0.370   5.57  48.04 114.72
        9  0.000 0.450   3.88  25.17 47.29
        10 0.000 0.225   8.92  22.95 62.47
